"","X2","X2017.79280454998","X.3766980.01077201","X.3770169.06863789"
"1",2,2017.79280454998,-3766980.01077201,-3770169.06863789
"2",3,1919.14841042126,-3693755.05854157,-3695911.79372067
"3",4,1823.22211244579,-3645969.70211875,-3651775.17355491
"4",5,1762.2572188751,-3622712.63228772,-3624412.31657257
"5",6,1718.3099499205,-3587848.40354566,-3592935.35316754
"6",7,1683.91567904594,-3569778.82672511,-3574706.34584658
"7",8,1655.61132091716,-3554753.12195941,-3554750.12622714
"8",9,1633.75030866809,-3533579.51035835,-3536512.97110477
"9",10,1614.53132407157,-3516646.28114753,-3518306.27658168
"10",11,1600.71553968803,-3498828.79183525,-3498825.79610298
"11",12,1586.96159607568,-3482101.6720082,-3490872.49952715
"12",13,1575.6241923432,-3465531.28238693,-3466890.57687623
"13",14,1560.54310613592,-3464722.54936591,-3468965.73502754
"14",15,1545.09632932519,-3469413.36686929,-3469802.07903572
"15",16,1539.98786030825,-3449167.14314881,-3450619.05109791
"16",17,1529.74704592009,-3445541.64282495,-3449258.33274727
"17",18,1518.95992724055,-3435775.84611763,-3435772.85038536
"18",19,1513.43674483334,-3430986.96387914,-3432397.11534049
"19",20,1505.93868071831,-3429316.86913101,-3434192.52546111
"20",21,1496.22148173695,-3407592.73291297,-3407836.42479307
"21",22,1486.29424858801,-3412177.03028354,-3416694.56415596
"22",23,1484.71073297602,-3390613.06042539,-3396397.6837283
"23",24,1475.25037176575,-3387609.29958005,-3392338.85495151
"24",25,1473.11780416032,-3394403.36170598,-3396811.32114398
"25",26,1468.21018877768,-3398572.07630888,-3407503.54141096
"26",27,1458.49836621913,-3396428.91912636,-3401529.3567212
"27",28,1454.04069445658,-3394391.07047323,-3394731.29503462
"28",29,1447.90083455592,-3395260.17652261,-3395257.18079034
"29",30,1443.31863908859,-3392515.07086475,-3393686.43003327
"30",31,1440.57794103457,-3386478.44279062,-3395694.36021766
"31",32,1438.15382932765,-3389068.64626998,-3395650.31775331
"32",33,1434.09820677617,-3365667.26067451,-3366769.93250616
"33",34,1427.29464526532,-3380568.68832286,-3382500.72625405
"34",35,1426.2700952212,-3390173.97445366,-3390170.97872139
"35",36,1423.32062582303,-3393239.38260022,-3393236.38686795
"36",37,1418.82689780854,-3374347.35235009,-3382008.09298483
"37",38,1418.8841357571,-3389811.90952023,-3391352.81712241
"38",39,1416.81301912829,-3392867.57215857,-3395748.30575283
"39",40,1420.59478481909,-3391875.34412395,-3391872.34839167
"40",41,1410.94408150413,-3378918.10632004,-3381358.09105456
"41",42,1412.73618029474,-3390452.22842882,-3392113.29351218
"42",43,1411.17861291422,-3388419.50487184,-3390676.91035713
"43",44,1416.58125428656,-3367576.86748743,-3370470.16493846
"44",45,1405.83599641072,-3389419.88209558,-3393053.5329163
"45",46,1410.50413465476,-3392253.13585007,-3392902.43409568
"46",47,1412.78108777423,-3387956.51286558,-3390208.13535609
"47",48,1414.85054942211,-3398356.7360203,-3398797.28635617
"48",49,1411.12514908612,-3392234.51771961,-3401024.52321887
"49",50,1408.92979333454,-3381561.95555008,-3382821.6644622
"50",51,1412.48523358934,-3387753.87601476,-3393022.62087878
"51",52,1408.19259650744,-3380227.60379557,-3381712.00498145
"52",53,1408.80523926618,-3397837.77852781,-3400617.07554726
"53",54,1405.21882517052,-3392746.22732525,-3394593.62700411
"54",55,1411.09371734244,-3394214.53118769,-3402863.69469784
"55",56,1404.32217162235,-3392002.3538364,-3392316.03847362
"56",57,1401.37137954418,-3398424.49741715,-3400928.94165036
"57",58,1407.42785734,-3398415.89138313,-3401322.77209656
"58",59,1407.13486525952,-3382612.4727977,-3384046.74363201
"59",60,1410.91661974244,-3392599.86971495,-3397579.70623458
"60",61,1402.49054973273,-3385964.1872128,-3388253.1403281
"61",62,1412.53929753899,-3390901.93734199,-3395511.85230947
"62",63,1411.01865535421,-3386650.9647998,-3386837.96279663
"63",64,1414.64113026883,-3392561.2930222,-3396550.78933415
"64",65,1408.30796939588,-3375665.43968106,-3381542.54748936
"65",66,1408.46146078807,-3389880.73597528,-3389877.74024301
"66",67,1408.44804935901,-3403866.41810468,-3409962.87260266
"67",68,1409.59089639615,-3390946.34429328,-3391749.64415254
"68",69,1407.72524046842,-3404086.48694756,-3405504.85497426
"69",70,1400.15838608033,-3407454.40168612,-3408665.9393713
"70",71,1406.32977139133,-3404966.54262827,-3408713.99719973
"71",72,1410.25929419157,-3382899.19719046,-3389723.47236261
"72",73,1408.94883139899,-3408367.11782363,-3416641.77490166
"73",74,1416.82250865521,-3405881.42520696,-3412351.69741713
"74",75,1407.17909288637,-3407893.77791014,-3410468.20708317
"75",76,1412.38729351678,-3404590.07364978,-3407628.37227176
"76",77,1407.15773457469,-3409113.02576844,-3412866.72753467
"77",78,1405.99608098546,-3381108.68387553,-3388365.53781216
"78",79,1412.11929490262,-3405334.54516738,-3409039.83684981
"79",80,1407.60610699705,-3408255.80144316,-3413899.16363181
"80",81,1410.94360057268,-3385842.68324075,-3388196.96145115
"81",82,1409.75818609533,-3411066.24584037,-3416708.84298954
"82",83,1409.68317360329,-3408932.82755421,-3408929.83182193
"83",84,1405.82661072146,-3416084.06994062,-3416320.5323428
"84",85,1408.99272087548,-3416099.2465447,-3416395.11653539
"85",86,1407.9169511874,-3409669.72409679,-3416188.55645904
"86",87,1407.53285187689,-3410777.32315826,-3413133.84429495
"87",88,1404.62375590964,-3386203.12724566,-3391689.59104771
"88",89,1404.92198457898,-3396389.74085094,-3396518.63389124
"89",90,1405.10434125056,-3404349.17288822,-3406297.65371597
"90",91,1404.15027697301,-3398444.90783568,-3414646.260848
"91",92,1406.40949878637,-3413591.84325777,-3414487.59970763
"92",93,1405.93882554268,-3409204.47116998,-3413377.08531004
"93",94,1406.05927435423,-3419331.70518901,-3419328.70945674
"94",95,1410.49361689795,-3401751.79294194,-3403387.33662934
"95",96,1408.78020934487,-3415146.85013279,-3419462.21653369
"96",97,1415.70050495342,-3418154.01143409,-3424489.16357532
"97",98,1409.65152681146,-3395552.69502301,-3395636.30539596
"98",99,1412.26688200214,-3409054.47953547,-3421237.75104341
"99",100,1412.33656207767,-3412512.3569394,-3421514.70766904
"100",101,1409.73513971401,-3433010.13504039,-3441359.06006543
"101",102,1412.25629659685,-3419705.97040001,-3422958.05239544
"102",103,1410.37877180093,-3423379.08783343,-3424844.54223213
"103",104,1407.31657619499,-3417036.78306792,-3420220.63101434
"104",105,1410.52514775085,-3418117.130009,-3422988.96873206
"105",106,1414.20147976325,-3409715.26283754,-3414025.26297371
"106",107,1411.57780412314,-3405121.05834352,-3412498.70315911
"107",108,1407.09827528482,-3422370.39990688,-3425530.36700203
"108",109,1409.81948425642,-3406475.36185033,-3409338.49508643
"109",110,1412.72995746262,-3418674.82097659,-3423100.79211518
"110",111,1407.72555965354,-3416785.93205417,-3418693.41629339
"111",112,1410.77366162485,-3421000.61917152,-3423827.89127369
"112",113,1407.678782933,-3422869.5554603,-3424875.31276993
"113",114,1412.89821102252,-3422941.54578227,-3427392.7385762
"114",115,1407.74197077615,-3417346.46503102,-3417343.46929874
"115",116,1410.18895544959,-3418455.09220473,-3422205.0685395
"116",117,1409.19954026994,-3420913.3130764,-3425461.79952494
"117",118,1410.14696250125,-3419969.28300841,-3426330.91888556
"118",119,1406.09608923784,-3385321.59449535,-3395089.37258187
"119",120,1408.55841805255,-3414268.36723835,-3417203.75905385
"120",121,1415.65649268498,-3425453.14690915,-3430176.73969673
"121",122,1408.68775336376,-3415704.77412809,-3420166.82583674
"122",123,1415.6055827771,-3416941.64822633,-3416938.65249406
"123",124,1413.12778921,-3412134.66811662,-3416257.56903835
"124",125,1409.39526268807,-3427352.28134389,-3429359.08470416
"125",126,1407.50409092422,-3418407.14861895,-3426852.69968754
"126",127,1409.232848722,-3416045.25428096,-3416297.11741875
"127",128,1413.34046401359,-3424658.01661119,-3426754.60436317
"128",129,1404.8158882061,-3440211.51676345,-3442897.21828831
"129",130,1407.52411312265,-3422141.87246404,-3431670.49799171
"130",131,1407.89052604206,-3416893.12540425,-3422929.04384919
"131",132,1410.1333570091,-3401590.87465863,-3408974.03577931
"132",133,1413.76197127379,-3426312.39447286,-3429157.22023992
"133",134,1411.59327692606,-3420049.51096835,-3425676.00618419
"134",135,1415.57532745404,-3423500.47801895,-3431255.80094545
"135",136,1414.82393060719,-3424478.34523591,-3429336.38550115
"136",137,1408.78061383882,-3423369.37219531,-3423592.13328324
"137",138,1413.28150742461,-3414341.89482367,-3421338.16375981
"138",139,1406.42793930647,-3409032.15759927,-3411570.82145559
"139",140,1413.45082983177,-3418058.27805059,-3422962.28299416
"140",141,1415.19699328719,-3427568.0910538,-3428963.09572728
"141",142,1413.71299000142,-3425914.21293594,-3427405.65829897
"142",143,1408.82462218983,-3420367.00680832,-3422550.798123
"143",144,1417.6123634343,-3411854.91769131,-3416231.05921563
"144",145,1413.38552396817,-3408714.81133599,-3411177.75841001
"145",146,1409.92023791552,-3421768.14517053,-3421765.14943826
"146",147,1411.33688378336,-3425618.96508734,-3430584.46528426
"147",148,1411.54696831695,-3417786.45769715,-3421576.75311262
"148",149,1412.91401332195,-3425485.79779144,-3431064.99796328
"149",150,1411.028165442,-3417908.67466252,-3420048.58643746
"150",151,1414.47854356367,-3424959.51436528,-3428014.21953893
"151",152,1409.82178626918,-3428345.86813211,-3433066.00344194
"152",153,1415.47762689956,-3400633.76323719,-3402708.65306752
"153",154,1412.73145103525,-3426885.47513141,-3430175.05723226
"154",155,1413.9522639661,-3425205.61452602,-3445395.85889866
"155",156,1411.28111741948,-3421050.56373238,-3421047.5680001
"156",157,1416.69961842463,-3425348.56880382,-3426386.72192516
"157",158,1408.97231929825,-3427726.94022973,-3431384.78092438
"158",159,1409.78128747083,-3419486.55778889,-3421711.60877557
"159",160,1411.9444972112,-3421015.01155587,-3423406.16835606
"160",161,1409.02165982885,-3424971.08853912,-3438398.49994071
"161",162,1414.98460024431,-3422591.62163816,-3427498.6014512
"162",163,1406.90151764562,-3425735.83779154,-3431366.2904183
"163",164,1413.47343853173,-3424030.32739332,-3428000.8713451
"164",165,1410.20967987557,-3426989.01295429,-3428034.06732242
"165",166,1411.1049734787,-3427611.39175161,-3432590.24001422
"166",167,1408.57194273281,-3403188.60375246,-3410374.21938169
"167",168,1411.51676068187,-3411405.38244908,-3414032.20401823
"168",169,1415.37923468834,-3428917.02745604,-3429637.79466075
"169",170,1409.01520469691,-3423274.26365335,-3428645.04090814
"170",171,1412.91233462308,-3423569.2851147,-3427532.40660079
"171",172,1412.499352964,-3402971.99199225,-3403117.73480208
"172",173,1414.22664482237,-3431240.06317428,-3433785.38101257
"173",174,1412.17584700802,-3438819.0858573,-3438816.09012502
"174",175,1411.4315345345,-3429789.85743293,-3431222.57159244
"175",176,1415.54574559181,-3432478.85888349,-3438425.63457074
"176",177,1413.77717596118,-3428838.02665983,-3429792.41584479
"177",178,1414.49408210454,-3414458.04642096,-3419844.20614882
"178",179,1406.15198905397,-3426682.77171422,-3434008.48198848
"179",180,1412.63505647599,-3453064.35321129,-3453956.7857982
"180",181,1415.37361587952,-3434226.65096837,-3436045.00782504
"181",182,1408.45022964463,-3430700.82774174,-3434595.27052128
"182",183,1410.02653196253,-3410747.36939076,-3414355.79429397
"183",184,1410.89193529852,-3428343.35397952,-3432739.80967355
"184",185,1409.09900326256,-3429241.48278708,-3430471.03611392
"185",186,1412.49262986257,-3424312.22279285,-3424911.40197273
"186",187,1407.15042100697,-3425933.75747309,-3425930.76174081
"187",188,1407.63861566865,-3426128.95853863,-3426125.96280635
"188",189,1417.29540207437,-3429560.8196716,-3430723.26821653
"189",190,1409.53613973027,-3412995.94521131,-3414563.80544775
"190",191,1412.94598565986,-3429902.60396346,-3431722.85259938
"191",192,1417.45639220399,-3420179.20201753,-3426276.46444293
"192",193,1411.23371921567,-3424508.46696501,-3429205.16782641
"193",194,1418.42241258662,-3435436.39139365,-3440235.52798855
"194",195,1414.63506791352,-3408726.5333566,-3415925.47764754
"195",196,1413.41176260031,-3432495.96936605,-3438472.84637475
"196",197,1410.10274784861,-3429781.50626728,-3434592.54156252
"197",198,1419.7184140533,-3425906.17747735,-3428050.87847618
"198",199,1413.05377375502,-3426113.21694573,-3431817.36593512
"199",200,1413.55303609685,-3433706.10738155,-3437157.79589522
"200",201,1410.95766958963,-3435944.08251497,-3440929.89049626
"201",202,1408.06151331526,-3429470.59792412,-3434656.14365519
"202",203,1416.28964440989,-3433982.91140282,-3437710.74997391
"203",204,1415.35639810212,-3423769.0674419,-3424585.88514945
"204",205,1410.65515534912,-3420393.20307078,-3421852.90455965
"205",206,1411.40132423047,-3414161.35867278,-3418283.09136797
"206",207,1414.01672164457,-3430030.65738146,-3430027.66164918
"207",208,1410.5980622477,-3439169.47464206,-3441956.29290861
"208",209,1411.81797660892,-3438524.77449968,-3440667.19865705
"209",210,1412.44473451448,-3428805.65611894,-3429638.08970144
